date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:27	45462/45462	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:42%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-9.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-9.jpg	(from https://afcofficial.store/)
12:03:28	47380/47380	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:42%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-10.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-10.jpg	(from https://afcofficial.store/)
12:03:29	42149/42149	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:42%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-11.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-11.jpg	(from https://afcofficial.store/)
12:03:30	48493/48493	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:43%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-12.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-12.jpg	(from https://afcofficial.store/)
12:03:31	44806/44806	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2003:38:43%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Penyakit-13.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Penyakit-13.jpg	(from https://afcofficial.store/)
12:03:33	448048/448048	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Dec%202020%2011:28:30%20GMT	https://afcofficial.store/wp-content/uploads/2020/12/Patent-Subarashi.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/12/Patent-Subarashi.png	(from https://afcofficial.store/)
12:03:33	98010/98010	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2004:25:16%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/SOP-100-Potrait.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/SOP-100-Potrait.jpg	(from https://afcofficial.store/)
12:03:36	416322/416322	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2006:20:21%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/surat-1.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/surat-1.jpg	(from https://afcofficial.store/)
12:03:36	990985/990985	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Nov%202020%2006:20:24%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/surat-2.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/surat-2.jpg	(from https://afcofficial.store/)
12:03:36	91347/91347	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Sep%202021%2015:41:21%20GMT	https://afcofficial.store/wp-content/uploads/2021/09/IMG-20210911-WA0028.jpg	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2021/09/IMG-20210911-WA0028.jpg	(from https://afcofficial.store/)
12:03:39	1695313/1695313	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202020%2006:24:01%20GMT	https://afcofficial.store/wp-content/uploads/2020/11/Banner-Utsu.png	/home/abrar/websites/wordpress%20clone/afcofficial.store/wp-content/uploads/2020/11/Banner-Utsu.png	(from https://afcofficial.store/)
